sub,ses,VOI
sub-W1001,ses-01,MC
sub-W1002,ses-01,MC
sub-W1003,ses-01,MC
sub-W1004,ses-01,MC
sub-W1005,ses-01,MC
sub-W1006,ses-01,MC
sub-W1007,ses-01,MC
sub-W1008,ses-01,MC
sub-W1010,ses-01,MC
sub-W1012,ses-01,MC
sub-W1013,ses-01,MC
sub-W1015,ses-01,MC
sub-W1016,ses-01,MC
sub-W1017,ses-01,MC
sub-W1018,ses-01,MC
sub-W1019,ses-01,MC
sub-W1020,ses-01,MC
sub-W1022,ses-01,MC
sub-W1023,ses-01,MC
sub-W1024,ses-01,MC
sub-W1027,ses-01,MC
sub-W1029,ses-01,MC
sub-W1031,ses-01,MC
sub-W1032,ses-01,MC
sub-W1033,ses-01,MC
sub-W1041,ses-01,MC
sub-W1042,ses-01,MC
sub-W1046,ses-01,MC
sub-W1049,ses-01,MC
sub-W1051,ses-01,MC
sub-W1056,ses-01,MC
sub-W1066,ses-01,MC
sub-W1067,ses-01,MC
sub-W1068,ses-01,MC
sub-W1070,ses-01,MC
sub-W1071,ses-01,MC
sub-W1072,ses-01,MC
sub-W1075,ses-01,MC
sub-W1077,ses-01,MC
sub-W1078,ses-01,MC
sub-W1082,ses-01,MC
sub-W1084,ses-01,MC
sub-W1087,ses-01,MC
sub-W1088,ses-01,MC
sub-W1090,ses-01,MC
sub-W1093,ses-01,MC
sub-W1095,ses-01,MC
sub-W1107,ses-01,MC
sub-W1109,ses-01,MC
sub-W1110,ses-01,MC
sub-W1114,ses-01,MC
sub-W1120,ses-01,MC
sub-W1122,ses-01,MC
sub-W1123,ses-01,MC
sub-W1125,ses-01,MC
sub-W1127,ses-01,MC
sub-W1129,ses-01,MC
sub-W1130,ses-01,MC
sub-W1134,ses-01,MC
sub-W1136,ses-01,MC
sub-W1137,ses-01,MC
sub-W1138,ses-01,MC
sub-W1139,ses-01,MC
sub-W1141,ses-01,MC
sub-W1143,ses-01,MC
sub-W1145,ses-01,MC
sub-W1146,ses-01,MC
sub-W1148,ses-01,MC
sub-W1150,ses-01,MC
sub-W1151,ses-01,MC
sub-W1152,ses-01,MC
sub-W1154,ses-01,MC
sub-W1155,ses-01,MC
sub-W1156,ses-01,MC
sub-W1157,ses-01,MC
sub-W1160,ses-01,MC
sub-W1162,ses-01,MC
sub-W1164,ses-01,MC
sub-W1165,ses-01,MC
sub-W1166,ses-01,MC
sub-W1167,ses-01,MC
sub-W1169,ses-01,MC
sub-W1170,ses-01,MC
sub-W1171,ses-01,MC
sub-W1172,ses-01,MC
sub-W1173,ses-01,MC
sub-W1174,ses-01,MC
sub-W1175,ses-01,MC
sub-W1176,ses-01,MC
sub-W1177,ses-01,MC
sub-W1178,ses-01,MC
sub-W1179,ses-01,MC
sub-W1180,ses-01,MC
sub-W1181,ses-01,MC
sub-W1182,ses-01,MC
sub-W1183,ses-01,MC
sub-W1184,ses-01,MC
sub-W1185,ses-01,MC
sub-W1187,ses-01,MC
sub-W1188,ses-01,MC
sub-W1189,ses-01,MC
sub-W1190,ses-01,MC
sub-W1191,ses-01,MC
sub-W1192,ses-01,MC
sub-W1193,ses-01,MC
sub-W1194,ses-01,MC
sub-W1195,ses-01,MC
sub-W1196,ses-01,MC
sub-W1197,ses-01,MC
sub-W1199,ses-01,MC
sub-W1200,ses-01,MC
sub-W1201,ses-01,MC
sub-W1202,ses-01,MC
sub-W1203,ses-01,MC
sub-W1204,ses-01,MC
sub-W1205,ses-01,MC
sub-W1207,ses-01,MC
sub-W1208,ses-01,MC
sub-W1209,ses-01,MC
sub-W1210,ses-01,MC
sub-W1211,ses-01,MC
sub-W1212,ses-01,MC
sub-W1213,ses-01,MC
sub-W1214,ses-01,MC
sub-W1215,ses-01,MC
sub-W1216,ses-01,MC
sub-W1218,ses-01,MC
sub-W1219,ses-01,MC
sub-W1220,ses-01,MC
sub-W1221,ses-01,MC
sub-W1222,ses-01,MC
sub-W1223,ses-01,MC
sub-W1224,ses-01,MC
sub-W1225,ses-01,MC
